med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-202,Condition1,n1,n1__Condition1,16.6979000094293,1.016,161.059,941.097,1081.257,370.587,595.792219607843,yes
Condition1-n1,n1__Condition1-208,Condition1,n1,n1__Condition1,15.4275252536698,0.955,160.41,1483.83,500.714,384.865,595.792219607843,yes
Condition1-n1,n1__Condition1-210,Condition1,n1,n1__Condition1,25.3909430011086,0.997,145.57,1312.229,673.352,391.68,595.792219607843,yes
Condition1-n1,n1__Condition1-213,Condition1,n1,n1__Condition1,21.9325060877217,1.013,139.714,2086.531,561.559,398.008,595.792219607843,yes
Condition1-n1,n1__Condition1-215,Condition1,n1,n1__Condition1,19.0957283820518,0.907,156.496,1354.809,1441.135,404.66,595.792219607843,yes
Condition1-n1,n1__Condition1-216,Condition1,n1,n1__Condition1,16.5355619674756,0.953,155.134,1928.648,592.615,405.504,595.792219607843,yes
Condition1-n1,n1__Condition1-221,Condition1,n1,n1__Condition1,27.0050924339466,0.999,146.684,2113.938,597.742,424.78,595.792219607843,yes
Condition1-n1,n1__Condition1-226,Condition1,n1,n1__Condition1,14.7587561827976,0.943,165.264,1249.48,2292.642,423.157,595.792219607843,yes
Condition1-n1,n1__Condition1-228,Condition1,n1,n1__Condition1,20.1085904398886,1.003,189.911,1594.525,2222.548,426.402,595.792219607843,yes
Condition1-n1,n1__Condition1-230,Condition1,n1,n1__Condition1,18.1500297101997,0.987,184.3,1709.624,2463.008,428.349,595.792219607843,yes
Condition1-n1,n1__Condition1-234,Condition1,n1,n1__Condition1,19.8119256259653,0.98,142.404,1177.425,1900.8,447.333,595.792219607843,yes
Condition1-n1,n1__Condition1-240,Condition1,n1,n1__Condition1,17.4812606393276,1.002,161.217,937.727,2330.933,452.687,595.792219607843,yes
Condition1-n1,n1__Condition1-247,Condition1,n1,n1__Condition1,15.9817027655158,0.958,151.05,1867.154,926.143,460.475,595.792219607843,yes
Condition1-n1,n1__Condition1-248,Condition1,n1,n1__Condition1,19.7167509699964,0.926,147.869,1745.145,1860.603,467.389,595.792219607843,yes
