med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n3,n3__Condition1-776,Condition1,n3,n3__Condition1,17.2043310383477,0.989,150.031,252.504,2489.293,1684.84,598.105352941177,no
Condition1-n3,n3__Condition1-777,Condition1,n3,n3__Condition1,17.4812606393276,0.983,528.154,249.971,757.724,1687.112,598.105352941177,no
Condition1-n3,n3__Condition1-778,Condition1,n3,n3__Condition1,15.4752717365974,0.974,369.522,269.922,1839.525,1685.556,598.105352941177,no
Condition1-n3,n3__Condition1-779,Condition1,n3,n3__Condition1,15.360361867685,0.984,682.575,243.125,1069.575,1685.489,598.105352941177,no
Condition1-n3,n3__Condition1-78,Condition1,n3,n3__Condition1,13.5838743928933,1.003,657.519,255.501,675.948,151.545,598.105352941177,no
Condition1-n3,n3__Condition1-780,Condition1,n3,n3__Condition1,17.987691668246,1.006,315.809,263.418,1713.072,1687.436,598.105352941177,no
Condition1-n3,n3__Condition1-781,Condition1,n3,n3__Condition1,20.4803763869513,0.953,461.424,238.169,136.682,1692.499,598.105352941177,no
Condition1-n3,n3__Condition1-782,Condition1,n3,n3__Condition1,15.3129336946436,0.965,585.095,246.602,1315.551,1690.357,598.105352941177,no
Condition1-n3,n3__Condition1-783,Condition1,n3,n3__Condition1,21.9325060877217,0.962,683.297,271.961,1260.255,1697.431,598.105352941177,no
Condition1-n3,n3__Condition1-784,Condition1,n3,n3__Condition1,14.9210942247514,1.002,155.752,1599.805,527.973,1694.9,598.105352941177,yes
Condition1-n3,n3__Condition1-785,Condition1,n3,n3__Condition1,17.2517592113891,0.998,757.486,248.368,2530.505,1696.522,598.105352941177,no
Condition1-n3,n3__Condition1-786,Condition1,n3,n3__Condition1,23.3174724025074,0.991,566.813,250.816,2561.333,1700.092,598.105352941177,no
Condition1-n3,n3__Condition1-787,Condition1,n3,n3__Condition1,10.5172769493986,0.999,303.354,250.34,2180.038,1696.847,598.105352941177,no
Condition1-n3,n3__Condition1-788,Condition1,n3,n3__Condition1,27.1674304759004,0.984,155.66,1688.03,2443.537,1706.258,598.105352941177,yes
Condition1-n3,n3__Condition1-789,Condition1,n3,n3__Condition1,15.360361867685,0.98,416.251,256.299,755.452,1704.311,598.105352941177,no
Condition1-n3,n3__Condition1-79,Condition1,n3,n3__Condition1,16.8796549544402,0.999,424.633,264.861,386.812,154.141,598.105352941177,no
Condition1-n3,n3__Condition1-790,Condition1,n3,n3__Condition1,16.4881337944342,0.967,237.978,2194.716,1821.133,1705.609,598.105352941177,yes
Condition1-n3,n3__Condition1-791,Condition1,n3,n3__Condition1,22.2571821716292,0.904,944.404,324.855,1878.882,1713.149,598.105352941177,no
Condition1-n3,n3__Condition1-792,Condition1,n3,n3__Condition1,14.6441646237715,0.99,738.73,294.088,540.434,1710.866,598.105352941177,no
Condition1-n3,n3__Condition1-793,Condition1,n3,n3__Condition1,16.6979000094293,0.996,863.434,271.819,317.692,1716.317,598.105352941177,no
Condition1-n3,n3__Condition1-794,Condition1,n3,n3__Condition1,13.3543729649548,1.007,542.006,2466.445,1964.078,1715.182,598.105352941177,yes
Condition1-n3,n3__Condition1-795,Condition1,n3,n3__Condition1,14.6441646237715,1,149.637,1319.822,2487.995,1716.642,598.105352941177,yes
Condition1-n3,n3__Condition1-796,Condition1,n3,n3__Condition1,14.2048969808378,0.997,297.064,247.179,292.705,1719.562,598.105352941177,no
Condition1-n3,n3__Condition1-797,Condition1,n3,n3__Condition1,10.6990318944096,0.984,362.671,255.348,1362.28,1719.887,598.105352941177,no
Condition1-n3,n3__Condition1-798,Condition1,n3,n3__Condition1,16.0291309385571,0.969,688.054,251.759,2520.495,1724.505,598.105352941177,no
Condition1-n3,n3__Condition1-799,Condition1,n3,n3__Condition1,23.3372076154508,0.975,313.806,1330.375,2191.408,1727.088,598.105352941177,yes
Condition1-n3,n3__Condition1-8,Condition1,n3,n3__Condition1,15.9142210696448,0.983,891.369,249.944,1234.684,10.514,598.105352941177,no
Condition1-n3,n3__Condition1-80,Condition1,n3,n3__Condition1,15.360361867685,1.005,167.353,252.842,620.133,153.492,598.105352941177,no
Condition1-n3,n3__Condition1-800,Condition1,n3,n3__Condition1,17.3189225973739,0.985,507.853,264.042,1345.081,1726.377,598.105352941177,no
Condition1-n3,n3__Condition1-801,Condition1,n3,n3__Condition1,27.1674304759004,0.899,627.293,256.734,1208.385,1737.483,598.105352941177,no
Condition1-n3,n3__Condition1-802,Condition1,n3,n3__Condition1,18.9808185131394,0.987,475.475,250.597,946.911,1732.543,598.105352941177,no
Condition1-n3,n3__Condition1-803,Condition1,n3,n3__Condition1,15.5898632956235,1.011,188.913,254.784,1987.93,1732.867,598.105352941177,no
Condition1-n3,n3__Condition1-804,Condition1,n3,n3__Condition1,19.4398213690165,1.005,191.28,2184.249,514.019,1736.437,598.105352941177,yes
Condition1-n3,n3__Condition1-805,Condition1,n3,n3__Condition1,14.3000716368068,0.976,260.804,259.258,2098.716,1736.372,598.105352941177,no
Condition1-n3,n3__Condition1-806,Condition1,n3,n3__Condition1,15.8667928966034,0.967,1012.507,257.41,742.667,1739.098,598.105352941177,no
Condition1-n3,n3__Condition1-807,Condition1,n3,n3__Condition1,11.1382995373432,0.986,469.526,251.404,2512.463,1737.67,598.105352941177,no
Condition1-n3,n3__Condition1-808,Condition1,n3,n3__Condition1,22.3915089435988,1.001,417.003,253.679,681.14,1746.172,598.105352941177,no
Condition1-n3,n3__Condition1-809,Condition1,n3,n3__Condition1,21.2163088438082,0.996,209.176,1678.209,1922.704,1749.742,598.105352941177,yes
Condition1-n3,n3__Condition1-81,Condition1,n3,n3__Condition1,13.7458941249608,0.971,339.915,261.567,703.369,155.601,598.105352941177,no
Condition1-n3,n3__Condition1-810,Condition1,n3,n3__Condition1,16.0291309385571,0.985,467.612,856.314,1613.611,1751.526,598.105352941177,yes
Condition1-n3,n3__Condition1-811,Condition1,n3,n3__Condition1,15.7522013375773,0.955,192.095,242.808,2566.136,1751.494,598.105352941177,no
Condition1-n3,n3__Condition1-812,Condition1,n3,n3__Condition1,21.3786468857619,0.98,654.089,273.119,972.347,1754.943,598.105352941177,no
